Movie Name,Year,Views,CommentCount,Likes
The Irishman,2019,2564903,22149,96321
Dangal,2016,6109402,19820,151250
David Attenborough: A Life on Our Planet,2020,5315471,9990,187303
Lagaan: Once Upon a Time in India,2001,913268,2988,16729
Roma,2018,2819118,20573,153395
To All the Boys I've Loved Before,2018,1038365,3142,22594
The Social Dilemma,2020,2688797,2689,19042
Okja,2017,1251577,2606,28951
The Ballad of Buster Scruggs,2018,2671756,1010,12699
The Trial of the Chicago 7,2020,635985,4111,20721
Article 15,2019,81377,177,655
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,230403,2002,2413
Dolemite Is My Name,2019,5468928,14903,247884
Mudbound,2017,789594,3551,10203
Swades,2004,301738,2027,8634
Fyre,2019,5531707,14816,72727
Miss Americana,2020,371683,1282,9600
Virunga,2014,380111,643,12095
Black Friday,2004,429830,3403,22885
Talvar,2015,286577,1196,9606
The King,2019,538546,6479,19822
John Mulaney: Kid Gorgeous at Radio City,2018,343273,266,4503
I Am Mother,2019,338085,1418,17626
Tell Me Who I Am,2019,237111,636,2323
The Departed,2006,152001,360,9020
Winter on Fire: Ukraine's Fight for Freedom,2015,324024,1586,10288
Terminator 2: Judgment Day,1991,188957,680,7394
I Lost My Body,2019,265799,1727,14179
Django Unchained,2012,87403,175,285
The Half of It,2020,58689,306,831
The Boy Who Harnessed the Wind,2019,1694708,3608,43997
The Devil All the Time,2020,108297,0,232
The Fundamentals of Caring,2016,26448434,127481,911883
Pieces of a Woman,2020,147851,739,5319
Gerald's Game,2017,472936,467,2867
On Body and Soul,2017,122634,595,2908
Shutter Island,2010,288922,2111,7515
Always Be My Maybe,2019,112866,137,3643
The Intouchables,2011,900779,3796,47602
Bill Burr: Paper Tiger,2019,459969,1226,16399
Special 26,2013,441712,6058,12162
Kiss the Ground,2020,34785,413,308
Crip Camp: A Disability Revolution,2020,22302,63,83
Extraction,2020,393265,8480,16805
No Direction Home: Bob Dylan,2005,352770,741,4782
Kabhi Khushi Kabhie Gham,2001,1856410,2768,38114
His House,2020,195143,239,5171
Super Deluxe,2019,1015189,1465,2133
The Guernsey Literary & Potato Peel Pie Society,2018,47760,41,132
A Secret Love,2020,2374251,8545,49509
The Night Comes for Us,2018,2083918,12707,106243
The Big Lebowski,1998,10541,19,261
Pad Man,2018,1155622,1018,16060
American Factory,2019,17679753,13058,248909
Bird Box,2018,218186,443,7773
The Pianist,2002,1496225,605,16116
3 Idiots,2009,194930,536,6466
The Distinguished Citizen,2016,36859,135,23
A Shaun the Sheep Movie: Farmageddon,2019,100120,48,154
A Clockwork Orange,1971,312769,966,8665
What Happened to Monday,2017,300601,991,10497
Anthony Jeselnik: Thoughts and Prayers,2015,33761,222,149
The White Helmets,2016,849499,5181,27121
Invader ZIM: Enter the Florpus,2019,5159763,7048,146732
Happy as Lazzaro,2018,256760,793,782
Chasing Coral,2017,629166,1030,8985
Kal Ho Naa Ho,2003,3031863,6852,121285
Pan's Labyrinth,2006,3913682,5531,129182
Team Foxcatcher,2016,20529,41,318
The Meyerowitz Stories (New and Selected),2017,8041928,7545,60434
Casino Royale,2006,43449654,93428,1788960
The Hateful Eight,2015,59168,274,2412
Rush,2013,82713,250,3124
Zombieland,2009,45236,911,1581
Eurovision Song Contest: The Story of Fire Saga,2020,403887,1739,20780
Kapoor & Sons,2016,277614,2337,2609
The Perfection,2018,237307,260,1896
Dave Chappelle: Sticks & Stones,2019,2954882,1948,52519
There Will Be Blood,2007,1497519,1084,15504
